total_loan,year_of_loan,interest,monthly_payment,work_year,house_exist,censor_status,use,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault,repayment_ratio,score_range,class_B,class_C,class_D,class_E,class_F,class_G,employer_type_世界五百强,employer_type_幼教与中小学校,employer_type_政府机构,employer_type_普通企业,employer_type_高等教育机构,industry_住宿和餐饮业,industry_信息传输、软件和信息技术服务业,industry_公共服务、社会组织,industry_农、林、牧、渔业,industry_制造业,industry_国际组织,industry_建筑业,industry_房地产业,industry_批发和零售业,industry_文化和体育业,industry_电力、热力生产供应业,industry_采矿业,industry_金融业
31818.18182,3,11.466,1174.91,3.0,0,1,2,13,2.43,0,556.3636364,649.0909091,3,0,0.0,7734.230769,91.8,0,0,5,1,1.0,0.0,4.0,5.0,4.0,3,9927,0.0,0,0.03692574285503281,92.72727269999996,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28000.0,5,16.841,670.69,10.0,0,2,0,30,11.00454545,1,715.0,893.75,3,0,0.0,31329.0,54.8,1,0,40642,1,7.0,0.0,4.0,45.0,22.0,0,0,0.0,0,0.023953214285714286,178.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17272.72727,3,8.9,603.32,10.0,1,0,4,8,6.409090909,0,774.5454545,903.6363636,5,0,0.0,18514.0,57.69230769,1,0,154,1,6.0,0.0,6.0,28.0,19.0,0,0,0.0,0,0.03492905263709407,129.09090909999998,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20000.0,3,4.788,602.3,6.0,0,1,0,8,9.204545455,0,750.0,875.0,3,0,0.0,20707.0,42.6,0,0,0,1,5.0,0.0,10.0,15.0,9.0,0,0,0.0,0,0.030115,125.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15272.72727,3,12.79,470.31,1.0,2,1,0,21,15.57818182,0,609.0909091,710.6060606,15,0,0.0,14016.15385,30.46153846,0,0,0,1,10.0,0.0,6.0,15.0,4.0,0,0,0.0,0,0.030794107148356092,101.5151515,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
25454.54545,3,10.637,899.15,10.0,0,1,0,8,15.80727273,0,636.3636364,689.3939394,4,0,0.0,16084.92308,58.89230769,0,0,28,1,6.0,0.0,6.0,20.0,15.0,0,0,0.0,0,0.03532375000630781,53.030303,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9090.909091,5,15.741,234.3,10.0,1,2,0,17,4.243636364,1,600.0,650.0,9,1,1.0,1527.076923,17.01538462,0,0,0,1,4.0,0.0,9.0,25.0,6.0,0,0,0.0,0,0.025772999999742273,50.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10288.63636,3,11.49,414.62,2.0,1,1,4,8,2.227272727,0,690.0,805.0,4,0,0.0,5082.0,34.7,0,0,4,1,4.0,0.0,0.0,9.0,9.0,0,0,0.0,0,0.040298829260984784,115.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6818.181818,3,20.064,272.05,6.0,0,2,0,17,22.93090909,0,600.0,750.0,9,1,1.0,18810.0,88.61538462,0,0,0,1,6.0,0.0,2.0,34.0,22.0,0,0,0.0,0,0.039900666667730685,150.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10800.0,3,14.33,339.95,4.0,1,1,0,0,21.22363636,0,564.5454545,705.6818182,8,0,0.0,3433.846154,93.34615385,0,0,37768,1,3.0,0.0,15.0,6.0,6.0,0,0,0.0,0,0.03147685185185185,141.13636369999995,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14727.27273,5,12.897,421.92,3.0,1,1,0,11,24.5,0,636.3636364,689.3939394,18,0,0.0,27758.76923,69.1,1,0,35995,1,4.0,0.0,8.0,11.0,9.0,0,0,0.0,0,0.02864888888358354,53.030303,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6400.0,3,20.889,234.57,6.0,2,2,0,5,37.56,1,725.4545455,906.8181818,8,0,0.0,13980.0,69.57692308,1,0,0,1,3.0,0.0,6.0,16.0,9.0,0,0,0.0,0,0.0366515625,181.36363630000005,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29454.54545,3,6.489,1115.04,1.0,2,1,0,12,29.72454545,0,668.1818182,779.5454545,24,0,0.0,31375.07692,48.34615385,0,1,0,1,8.0,0.0,24.0,30.0,10.0,0,0,0.0,0,0.03785629630213831,111.36363630000005,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
